"4","1","A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat: A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat","BF","Swarmanoid"
"4","1","After the Fall (used for reference dating).","AF: After the Fall (used for reference dating).","AF","AGI","Extrasolar"
"4","1","Artificial General Intelligence. An AI that has cognitive faculties comparable to that of a human or higher. Also known as “strong AI” (differentiating from more specialized “weak AI”). See also “seed AI.”","AGI: Artificial General Intelligence. An AI that has cognitive faculties comparable to that of a human or higher. Also known as “strong AI” (differentiating from more specialized “weak AI”). See also “seed AI.”","AGI","Seed AI","TITANs"
"4","1","Artificial Intelligence. Generally used to refer to weak AIs; i.e., AIs that do not encompass (or in some cases, are completely outside of) the full range of human cognitive abilities. AIs differ from AGIs in that they are usually specialized and/or intentionally crippled/limited.","AI: Artificial Intelligence. Generally used to refer to weak AIs; i.e., AIs that do not encompass (or in some cases, are completely outside of) the full range of human cognitive abilities. AIs differ from AGIs in that they are usually specialized and/or intentionally crippled/limited.","AI","Iceteroid","Factors"
"4","1","Someone who believes government is unnecessary, that power corrupts, and that people should control their own lives through self-organized individual and collective action.","Anarchist: Someone who believes government is unnecessary, that power corrupts, and that people should control their own lives through self-organized individual and collective action.","Anarchist","Farcasting","Skin"
"4","1","A spider-like robotic synthmorph.","Arachnoid: A spider-like robotic synthmorph.","Arachnoid","Morph","Resleeving"
"4","1","A faction of techno-progressive scientists that promote responsible and ethical use of technology.","Argonauts: A faction of techno-progressive scientists that promote responsible and ethical use of technology.","Argonauts","Scorchers","Autonomists"
"4","1","Augmented Reality. Information from the mesh (universal data network) that is overlaid on your real-world senses. AR data is usually entoptic (visual), but can also be audio, tactile, olfactory, kinesthetic (body awareness), emotional, or other types of input.","AR: Augmented Reality. Information from the mesh (universal data network) that is overlaid on your real-world senses. AR data is usually entoptic (visual), but can also be audio, tactile, olfactory, kinesthetic (body awareness), emotional, or other types of input.","AR","Exoplanet","Isolates"
"4","1","A person with psi abilities.","Async: A person with psi abilities.","Async","Chimeric","Transhuman"
"4","1","Astronomical Unit. The distance between the Earth and the Sun, equal to 8.3 light minutes, or about 150 million kilometers.","AU: Astronomical Unit. The distance between the Earth and the Sun, equal to 8.3 light minutes, or about 150 million kilometers.","AU","Circumjovian","Flats"
"4","1","The alliance of anarchists, Barsoomians, Extropians, scum, and Titanians.","Autonomists: The alliance of anarchists, Barsoomians, Extropians, scum, and Titanians.","Autonomists","Splicers","Kuiper Belt"
"4","1","A rural Martian, typically resentful of hypercorp control.","Barsoomian: A rural Martian, typically resentful of hypercorp control.","Barsoomian","Chimeric","Xer"
