"4","1","A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat: A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat","Habtech","VR"
"4","1","After the Fall (used for reference dating).","AF: After the Fall (used for reference dating).","AF","Xenomorph","Exoplanet"
"4","1","Artificial General Intelligence. An AI that has cognitive faculties comparable to that of a human or higher. Also known as “strong AI” (differentiating from more specialized “weak AI”). See also “seed AI.”","AGI: Artificial General Intelligence. An AI that has cognitive faculties comparable to that of a human or higher. Also known as “strong AI” (differentiating from more specialized “weak AI”). See also “seed AI.”","AGI","Clade","AU"
"4","1","Artificial Intelligence. Generally used to refer to weak AIs; i.e., AIs that do not encompass (or in some cases, are completely outside of) the full range of human cognitive abilities. AIs differ from AGIs in that they are usually specialized and/or intentionally crippled/limited.","AI: Artificial Intelligence. Generally used to refer to weak AIs; i.e., AIs that do not encompass (or in some cases, are completely outside of) the full range of human cognitive abilities. AIs differ from AGIs in that they are usually specialized and/or intentionally crippled/limited.","AI","The Fall","Clade"
"4","1","Someone who believes government is unnecessary, that power corrupts, and that people should control their own lives through self-organized individual and collective action.","Anarchist: Someone who believes government is unnecessary, that power corrupts, and that people should control their own lives through self-organized individual and collective action.","Anarchist","Egocasting","Lagrange Point"
"4","1","A spider-like robotic synthmorph.","Arachnoid: A spider-like robotic synthmorph.","Arachnoid","Mercurials","Lifelog"
"4","1","A faction of techno-progressive scientists that promote responsible and ethical use of technology.","Argonauts: A faction of techno-progressive scientists that promote responsible and ethical use of technology.","Argonauts","Pods","Hibernoid"
"4","1","Augmented Reality. Information from the mesh (universal data network) that is overlaid on your real-world senses. AR data is usually entoptic (visual), but can also be audio, tactile, olfactory, kinesthetic (body awareness), emotional, or other types of input.","AR: Augmented Reality. Information from the mesh (universal data network) that is overlaid on your real-world senses. AR data is usually entoptic (visual), but can also be audio, tactile, olfactory, kinesthetic (body awareness), emotional, or other types of input.","AR","Exsurgent","Xenomorph"
"4","1","A person with psi abilities.","Async: A person with psi abilities.","Async","Cislunar","Circumjovian"
"4","1","Astronomical Unit. The distance between the Earth and the Sun, equal to 8.3 light minutes, or about 150 million kilometers.","AU: Astronomical Unit. The distance between the Earth and the Sun, equal to 8.3 light minutes, or about 150 million kilometers.","AU","VPNs","Chimeric"
"4","1","The alliance of anarchists, Barsoomians, Extropians, scum, and Titanians.","Autonomists: The alliance of anarchists, Barsoomians, Extropians, scum, and Titanians.","Autonomists","Ghost-riding","Kuiper Belt"
"4","1","A rural Martian, typically resentful of hypercorp control.","Barsoomian: A rural Martian, typically resentful of hypercorp control.","Barsoomian","Torus","Exsurgent"
"4","1","An image or other sensory input that affects the brain’s visual cortex and pattern recognition abilities in such a way as to cause a glitch and possibly exploit it and rewrite neural code.","Basilisk Hack: An image or other sensory input that affects the brain’s visual cortex and pattern recognition abilities in such a way as to cause a glitch and possibly exploit it and rewrite neural code.","Basilisk Hack","Vacworker","Reclaimers"
"4","1","A microgravity habitat made from a tunneled-out asteroid or moon.","Beehive: A microgravity habitat made from a tunneled-out asteroid or moon.","Beehive","Lost Generation","Infolife"
"4","1","Before the Fall (used for reference dating).","BF: Before the Fall (used for reference dating).","BF","Brinkers","AU"
"4","1","An anti-technology movement that argues for strict regulation of nanofabrication, AI, uploading, forking, cognitive enhancements, and other disruptive technologies.","Bioconservative: An anti-technology movement that argues for strict regulation of nanofabrication, AI, uploading, forking, cognitive enhancements, and other disruptive technologies.","Bioconservative","XP","AI"
"4","1","A biological body, whether a flat, splicer, genetically engineered transhuman, or pod.","Biomorph: A biological body, whether a flat, splicer, genetically engineered transhuman, or pod.","Biomorph","AU","Firewall"
"4","1","A service for leasing, selling, acquiring, or storing a morph. AKA dollhouse, morgue.","Body Bank: A service for leasing, selling, acquiring, or storing a morph. AKA dollhouse, morgue.","Body Bank","Vapor","BF"
"4","1","Robots. AI-piloted synthetic shells.","Bots: Robots. AI-piloted synthetic shells.","Bots","AF","AGI"
"4","1","A type of autonomous monitoring deepspace probe meant to make contact with alien civilizations.","Bracewell Probe: A type of autonomous monitoring deepspace probe meant to make contact with alien civilizations.","Bracewell Probe","Morph","Bioconservative"
"4","1","Exiles who live on the fringes of the system, as well as other isolated and well-hidden nooks and crannies. Also called isolates, fringers, drifters.","Brinkers: Exiles who live on the fringes of the system, as well as other isolated and well-hidden nooks and crannies. Also called isolates, fringers, drifters.","Brinkers","PAN","Proxies"
"4","1","A cheap, common, mass-produced synthetic shell.","Case: A cheap, common, mass-produced synthetic shell.","Case","Rusters","Redneck"
"4","1","Transgenic, containing genetic traits from other species.","Chimeric: Transgenic, containing genetic traits from other species.","Chimeric","Arachnoid","Psi"
"4","1","Orbiting Jupiter.","Circumjovian: Orbiting Jupiter.","Circumjovian","Greeks","Ghost"
"4","1","Orbiting the Moon.","Circumlunar: Orbiting the Moon.","Circumlunar","Ghost-riding","Genehacker"
"4","1","Orbiting the Sun.","Circumsolar: Orbiting the Sun.","Circumsolar","VR","Ghost"
"4","1","Between the Earth and the Moon.","Cislunar: Between the Earth and the Moon.","Cislunar","Ghost-riding","Proxies"
"4","1","A species or group of organisms with common features. Used to refer to transhuman subspecies and morph types.","Clade: A species or group of organisms with common features. Used to refer to transhuman subspecies and morph types.","Clade","Skinning","Simulspace"
"4","1","A habitat made from a hollowed-out asteroid or moon, spun for gravity.","Cole Bubble: A habitat made from a hollowed-out asteroid or moon, spun for gravity.","Cole Bubble","Mesh","Autonomists"
"4","1","A general-purpose nanofabricator.","Cornucopia Machine: A general-purpose nanofabricator.","Cornucopia Machine","Ghost","Transhuman"
"4","1","An implanted memory cell used for ego backup. Located where the spine meets the skull; can be cut out.","Cortical Stack: An implanted memory cell used for ego backup. Located where the spine meets the skull; can be cut out.","Cortical Stack","Entoptics","Gatecrashers"
